,quarter,clockmin,clocksec,drive_id,down,distance,offteam,defteam,ballposition,play_type,yards_gained,yac,offense_playcall,offense_personnel,offense_formation,offense_qbdepth,offense_situation,defense_front,defense_personnel,defense_call,blitz_type,double_type,spy_type,defense_situation,tackle_player,assist_tackle_player,blitz_player,penalty_player,penalty_type,penalty_declined,ball_carrierid,rundir,play_id,routes,skill_players,prim_route,sec_route,game_id,game_year,game_week,game_city,game_state,game_temp,game_wind,game_weather,distance_to_endzone,FieldPosition,flag_2min,fumble_flag,sack_flag,int_flag,hurry_flag,drop_flag,defpass_flag,incomppass_flag,comppass_flag,playaction_flag,counterplay_flag,safety_flag,badpass_flag,deftd_flag,offtd_flag,tfl_flag
59,2Q,2,14,9,1,10,DAL,HOU,HOU41,pass,2,1,113t Strong Pass XYZAR S621F Normal,113t,Strong,Normal,1-10earn,43 Under,Nickel Personnel,"Cover-1, Buzz",No Blitz,None,None,Normal,DE Gregory Hartman,,,None,None,False,,,74,S621F,XYZAR,S,6,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,41,NORMAL,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
60,2Q,2,0,9,2,13,DAL,HOU,HOU44,pass,0,0,122 Weak Pass XZYAT S3521 Normal,122,Weak,Normal,2mindrill,43 Under,Regular Personnel,Cover-1,No Blitz,None,None,Normal,,,,None,None,False,,,77,S3521,XZYAT,S,3,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,44,NORMAL,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
61,2Q,1,52,9,3,13,DAL,HOU,HOU44,pass,0,0,122 Strong Pass XYZAT 34FS4 Shotgun,122,Strong,Shotgun,2mindrill,43 Under,Nickel Personnel,Cover-2,Blitz 1,None,None,3long,,,LCB B.Satchwell,None,None,False,,,78,34FS4,XYZAT,3,4,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,44,NORMAL,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
62,2Q,1,36,10,1,10,HOU,DAL,HOU09,pass,0,0,113 Weak Pass XRYZA S856W Normal,113,Weak,Normal,2mindrill,43 Over,Nickel Personnel,Press-2,No Blitz,None,None,Normal,,,,None,None,False,,,80,S856W,XRYZA,S,8,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,91,NORMAL,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
63,2Q,1,32,10,2,10,HOU,DAL,HOU09,pass,0,0,113t Weak Pass ZXAR 2711 Normal,113t,Weak,Normal,2mindrill,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,,,,None,None,False,,,81,2711,ZXAR,2,7,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,91,NORMAL,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
64,2Q,1,25,10,3,10,HOU,DAL,HOU09,pass,13,16,113 Pro Pass XRYZA FS1W1 Normal,113,Pro,Normal,2mindrill,43 Over,Nickel Personnel,Press-2,No Blitz,None,None,3long,S Vince Shaw,,,None,None,False,,,82,FS1W1,XRYZA,F,S,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,91,NORMAL,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
65,2Q,0,58,10,1,10,HOU,DAL,HOU22,pass,18,7,113t I Pass XRYZA 3S46W Normal,113t,I,Normal,2mindrill,43 Over,Nickel Personnel,Press-2,No Blitz,None,None,Normal,CB Troy Uzzell,DT Cornell Sawyer,,None,None,False,,,83,3S46W,XRYZA,3,S,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,78,NORMAL,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
66,2Q,0,46,10,1,10,HOU,DAL,HOU40,pass,4,0,113t Weak Pass ZXYAR 7F1S1 Pistol,113t,Weak,Pistol,2mindrill,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,ILB Hayden Richmond,,,None,None,False,,,85,7F1S1,ZXYAR,7,F,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,60,NORMAL,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
67,2Q,0,36,10,2,6,HOU,DAL,HOU44,pass,11,0,113t I Pass XRYZA 3S46W Normal,113t,I,Normal,2mindrill,43 Over,Nickel Personnel,Cover-2,No Blitz,None,None,Normal,S Reginald Fordham,,,None,None,False,,,87,3S46W,XRYZA,3,S,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,56,NORMAL,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
68,2Q,0,25,10,1,10,HOU,DAL,DAL45,pass,0,0,122 I Pass ZTXYA 1004S Normal,122,I,Normal,2mindrill,43 Over,Nickel Personnel,Cover-1,No Blitz,None,None,Normal,,,,None,None,False,,,89,1004S,ZTXYA,1,0,0,2053,Exhibition Week 1,Houston,TX,70,10 ,fair,45,NORMAL,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
